Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
circuit_request,3-hop,20857,0,660,926.0889869108693,97,7284,279.60013424749485,34.71608941697367,0.0,660,1000,1300,1500,2100,2600,3100,3300,4700,6200,7300
circuit_setup,3-hop,20921,0,1500,2037.447636346255,436,9005,0.0,34.822616229203916,0.0,1500,2100,2600,2900,4000,5800,7200,7500,8300,8700,9000
,Aggregated,41778,0,1100,1482.6195605342525,97,9005,139.58590645794436,69.53870564617758,0.0,1100,1600,1900,2200,3100,4000,6300,7200,8200,8700,9000
