Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
circuit_request,1-hop,9541,0,400,803.724033120218,91,8013,279.58956084267896,39.601798444760924,0.0,400,770,1100,1400,2100,2800,3500,3800,8000,8000,8000
circuit_setup,1-hop,9603,0,960,1403.9222118088098,190,6909,0.0,39.85914164815419,0.0,960,1600,2000,2200,3700,4000,4500,4600,5300,6900,6900
,Aggregated,19144,0,680,1104.7950271625575,91,8013,139.34203928123694,79.46094009291511,0.0,680,1100,1600,1800,3000,3700,4100,4600,6900,8000,8000
