Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/echo,7515,0,37,47.95032432551464,33.3917909883894,155.41304199723527,136.88755821689952,127.08350573362404,0.0,37,38,38,39,110,120,120,130,130,160,160
,Aggregated,7515,0,37,47.95032432551464,33.3917909883894,155.41304199723527,136.88755821689952,127.08350573362404,0.0,37,38,38,39,110,120,120,130,130,160,160
