Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774739905,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774739906,50,,Aggregated,0.000000,0.000000,22,25,31,59,86,100,110,110,120,120,120,750,0,22,35.24835639299514,18.23549997061491,117.08712502149865,136.872
1774739907,50,,Aggregated,0.000000,0.000000,23,25,31,45,92,100,110,110,150,160,160,1501,0,23,36.014514401859714,18.23549997061491,158.66262500640005,136.87275149900066
1774739908,50,,Aggregated,0.000000,0.000000,23,24,27,35,80,100,110,110,130,160,160,2284,0,23,33.54612632368462,18.23549997061491,158.66262500640005,136.8839754816112
1774739909,50,,Aggregated,405.000000,0.000000,23,25,28,36,82,100,110,110,120,160,160,3080,0,23,34.04247054373604,18.23549997061491,158.66262500640005,136.8853896103896
1774739910,50,,Aggregated,515.000000,0.000000,23,24,27,34,83,100,110,110,120,160,160,3889,0,23,33.75895099528984,18.23549997061491,158.66262500640005,136.88917459501158
1774739911,50,,Aggregated,580.500000,0.000000,23,24,27,33,83,100,110,110,120,160,160,4691,0,23,33.491012480936725,18.23549997061491,158.66262500640005,136.88957578341504
1774739912,50,,Aggregated,616.000000,0.000000,23,24,27,32,84,100,110,110,120,160,160,5486,0,23,33.36221389520867,18.23549997061491,158.66262500640005,136.89081297849071
1774739913,50,,Aggregated,653.666667,0.000000,23,24,26,32,86,100,110,110,140,160,160,6238,0,23,33.54098901848938,18.23549997061491,158.66262500640005,136.88938762423854
1774739914,50,,Aggregated,677.142857,0.000000,23,24,26,32,86,100,110,110,140,160,160,7034,0,23,33.49114854167227,18.23549997061491,158.66262500640005,136.89024736991755
1774739915,50,,Aggregated,690.875000,0.000000,23,24,26,31,87,100,110,110,140,160,160,7829,0,23,33.4266823138504,18.23549997061491,158.66262500640005,136.89155703154935
1774739916,50,,Aggregated,698.555556,0.000000,23,24,26,32,87,100,110,110,140,160,160,8604,0,23,33.492089206816544,18.23549997061491,158.66262500640005,136.89132961413296
1774739917,50,,Aggregated,707.700000,0.000000,23,24,27,32,87,100,110,110,130,160,160,9353,0,23,33.688129773409024,18.23549997061491,158.66262500640005,136.89083716454613
1774739918,50,,Aggregated,787.300000,0.000000,23,24,26,32,86,100,110,110,130,150,160,10177,0,23,33.5235327394177,18.23549997061491,158.66262500640005,136.8926009629557
1774739919,50,,Aggregated,783.700000,0.000000,23,24,26,32,85,100,110,110,130,150,160,10922,0,23,33.328193022343065,18.23549997061491,158.66262500640005,136.89397546236953
1774739920,50,,Aggregated,785.400000,0.000000,23,24,26,31,85,100,110,110,130,150,160,11779,0,23,33.237174293265504,18.23549997061491,158.66262500640005,136.89396383394177
1774739921,50,,Aggregated,787.600000,0.000000,23,24,26,32,85,100,110,110,130,150,160,12564,0,23,33.3732723074408,18.23549997061491,158.66262500640005,136.89390321553645
1774739922,50,,Aggregated,786.700000,0.000000,23,24,26,32,85,100,110,110,130,150,160,13338,0,23,33.3856948042711,18.23549997061491,158.66262500640005,136.8935372619583
1774739923,50,,Aggregated,785.700000,0.000000,23,24,26,32,84,100,110,110,130,150,160,14138,0,23,33.315150694109754,18.23549997061491,158.66262500640005,136.89340783703494
1774739924,50,,Aggregated,782.900000,0.000000,23,24,26,31,84,100,110,110,130,150,160,14937,0,23,33.24613165213352,18.23549997061491,158.66262500640005,136.89288344379727
1774739925,50,,Aggregated,783.500000,0.000000,23,24,26,31,85,100,110,110,130,150,160,15738,0,23,33.17123090012515,18.23549997061491,158.66262500640005,136.8921082729699
1774739926,50,,Aggregated,786.300000,0.000000,23,24,26,31,84,100,110,110,130,150,160,16534,0,23,33.16160206753756,18.23549997061491,158.66262500640005,136.89101245917504
1774739927,50,,Aggregated,787.600000,0.000000,23,24,26,31,85,100,110,110,140,150,160,17285,0,23,33.30622255509651,18.23549997061491,158.66262500640005,136.89117732137692
1774739928,50,,Aggregated,787.300000,0.000000,23,24,26,32,85,100,110,110,130,150,160,18039,0,23,33.382489856613425,18.23549997061491,158.66262500640005,136.89112478518766
1774739929,50,,Aggregated,789.900000,0.000000,23,24,27,32,85,100,110,110,130,150,160,18810,0,23,33.46950202696765,18.23549997061491,158.66262500640005,136.8902711323764
1774739930,50,,Aggregated,790.000000,0.000000,23,24,27,33,86,100,110,110,170,180,180,19476,0,23,33.755877917951004,18.23549997061491,180.3611249779351,136.88991579379748
1774739931,50,,Aggregated,784.100000,0.000000,23,24,27,33,86,100,110,110,170,180,180,20285,0,23,33.65656673448082,18.23549997061491,180.3611249779351,136.88917919645058
1774739933,50,,Aggregated,769.700000,0.000000,23,24,27,33,86,100,110,110,170,180,180,21110,0,23,33.62758488057151,18.23549997061491,180.3611249779351,136.8894836570346
1774739934,50,,Aggregated,771.600000,0.000000,23,24,27,33,86,100,110,110,170,180,180,21888,0,23,33.627773996874154,18.23549997061491,180.3611249779351,136.8893457602339
1774739935,50,,Aggregated,774.400000,0.000000,23,24,27,33,86,100,110,110,160,180,180,22684,0,23,33.594935522880014,18.23549997061491,180.3611249779351,136.88864397813435
1774739936,50,,Aggregated,773.600000,0.000000,23,24,27,32,86,100,110,110,160,180,180,23473,0,23,33.547835647468865,18.23549997061491,180.3611249779351,136.88876581604396
1774739937,50,,Aggregated,772.600000,0.000000,23,24,27,32,86,100,110,110,160,180,180,24262,0,23,33.54723893321704,18.23549997061491,180.3611249779351,136.88925068007583
1774739938,50,,Aggregated,772.300000,0.000000,23,24,27,32,86,100,110,110,160,180,180,25011,0,23,33.61818985608352,18.23549997061491,180.3611249779351,136.8894086601895
1774739939,50,,Aggregated,770.700000,0.000000,23,24,27,32,86,100,110,110,160,180,180,25793,0,23,33.62170572499512,18.23549997061491,180.3611249779351,136.88965998526731
1774739940,50,,Aggregated,770.600000,0.000000,23,24,27,33,86,100,110,110,160,180,180,26539,0,23,33.66244108383601,18.23549997061491,180.3611249779351,136.88993556652474
1774739941,50,,Aggregated,774.700000,0.000000,23,24,27,33,86,100,110,110,160,180,180,27296,0,23,33.74177653394842,18.23549997061491,180.3611249779351,136.88965416178195
1774739942,50,,Aggregated,772.600000,0.000000,23,25,27,33,86,100,110,110,160,180,180,28014,0,23,33.762814376052745,18.23549997061491,180.3611249779351,136.8896623117013
1774739943,50,,Aggregated,772.600000,0.000000,23,25,27,33,86,100,110,110,160,180,180,28821,0,23,33.70539550198393,18.23549997061491,180.3611249779351,136.88942090836542
1774739944,50,,Aggregated,771.700000,0.000000,23,25,27,33,85,100,110,110,160,180,180,29639,0,23,33.706586870113455,18.23549997061491,180.3611249779351,136.88943621579676
1774739945,50,,Aggregated,771.500000,0.000000,23,25,27,33,85,100,110,110,160,180,180,30432,0,23,33.67987184888141,18.23549997061491,180.3611249779351,136.88945846477392
1774739946,50,,Aggregated,774.000000,0.000000,23,25,27,33,85,100,110,110,160,180,180,31211,0,23,33.68228052950149,18.23549997061491,180.3611249779351,136.8895261286085
1774739947,50,,Aggregated,773.500000,0.000000,23,24,27,33,85,100,110,110,160,180,180,32024,0,23,33.64585327617742,18.23549997061491,180.3611249779351,136.89020734449164
1774739948,50,,Aggregated,773.100000,0.000000,23,25,27,33,85,100,110,110,160,180,180,32784,0,23,33.686607970961724,18.23549997061491,180.3611249779351,136.89019033674964
1774739949,50,,Aggregated,774.600000,0.000000,23,25,27,33,85,100,110,110,160,180,180,33576,0,23,33.67681802528835,18.23549997061491,180.3611249779351,136.8900405051227
1774739950,50,,Aggregated,775.300000,0.000000,23,25,27,33,85,100,110,110,160,180,180,34336,0,23,33.70938373000689,18.23549997061491,180.3611249779351,136.88912511649582
1774739951,50,,Aggregated,776.100000,0.000000,23,25,27,34,86,100,110,110,160,180,180,35092,0,23,33.737853358299304,18.23549997061491,180.3611249779351,136.88909153083324
1774739952,50,,Aggregated,777.400000,0.000000,23,25,27,33,86,100,110,110,160,180,180,35879,0,23,33.7294799386839,18.23549997061491,180.3611249779351,136.88907160177263
1774739953,50,,Aggregated,778.600000,0.000000,23,25,27,33,85,100,110,110,160,180,180,36652,0,23,33.66422090116464,18.23549997061491,180.3611249779351,136.88906471679582
1774739954,50,,Aggregated,778.600000,0.000000,23,25,27,34,86,100,110,110,160,180,180,37218,0,23,33.85032483150939,18.23549997061491,180.3611249779351,136.88892471384813
1774739955,50,,Aggregated,781.500000,0.000000,23,25,27,34,86,100,110,110,210,240,240,38039,0,23,34.025601673094094,18.23549997061491,244.95925003429875,136.88882462735614
1774739956,50,,Aggregated,759.200000,0.000000,23,25,27,33,86,100,110,110,210,240,240,38845,0,23,33.98440248422346,18.23549997061491,244.95925003429875,136.88876303256532
1774739957,50,,Aggregated,760.600000,0.000000,23,25,27,33,86,100,110,110,210,240,240,39643,0,23,33.95609133598823,18.23549997061491,244.95925003429875,136.8889841838408
1774739958,50,,Aggregated,760.700000,0.000000,23,25,27,34,87,100,110,110,210,240,240,40385,0,23,34.01181369181959,18.23549997061491,244.95925003429875,136.88864677479262
1774739959,50,,Aggregated,760.300000,0.000000,23,25,27,33,87,100,110,110,210,240,240,41166,0,23,33.995050747478935,18.23549997061491,244.95925003429875,136.88898605645434
1774739960,50,,Aggregated,760.100000,0.000000,23,25,27,34,87,100,110,110,210,240,240,41937,0,23,34.004998965548225,18.23549997061491,244.95925003429875,136.8888809404583
1774739961,50,,Aggregated,758.700000,0.000000,23,25,27,34,87,100,110,110,210,240,240,42714,0,23,34.011864692900794,18.23549997061491,244.95925003429875,136.88872500819403
