Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
circuit_request,3-hop,21622,0,800,1071.011654796041,89,7593,279.5987420220146,36.02211120432496,0.0,800,1300,1600,1800,2400,2800,3400,4000,6100,7600,7600
circuit_setup,3-hop,21683,0,1300,1790.8379375547663,414,7973,0.0,36.12373680711211,0.0,1300,1900,2400,2800,3800,4700,5600,6200,7200,8000,8000
,Aggregated,43305,0,1100,1431.431774621868,89,7973,139.6024477543009,72.14584801143707,0.0,1100,1600,2000,2200,3100,3900,5000,5700,7100,7900,8000
