Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
circuit_request,3-hop,21607,0,720,1002.4322673207756,95,5215,279.59790808534274,35.96779369804495,0.0,720,1200,1500,1800,2300,2800,3200,3400,4300,4800,5200
circuit_setup,3-hop,21620,0,1300,1862.2042090656798,436,8441,0.0,35.98943396823862,0.0,1300,1900,2500,2800,3800,5100,6100,7200,8300,8400,8400
,Aggregated,43227,0,1000,1432.4475212251602,95,8441,139.75691118976565,71.95722766628357,0.0,1000,1500,1900,2200,3100,3900,5400,6100,8200,8400,8400
