Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/forward/echo,64656,0,160.0,152.22716370848718,19.662917009554803,733.8343330193311,136.8877289037367,1091.6701150963224,0.0,160,180,190,210,250,270,300,350,690,730,730
,Aggregated,64656,0,160.0,152.22716370848718,19.662917009554803,733.8343330193311,136.8877289037367,1091.6701150963224,0.0,160,180,190,210,250,270,300,350,690,730,730
