Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
circuit_request,3-hop,7306,0,600,1043.6663016698603,97,7827,279.5926635641938,30.330383205025004,0.0,600,1000,1400,1700,2800,3500,4300,4900,6600,7800,7800
circuit_setup,3-hop,7357,0,1300,1846.6998776675275,419,8711,0.0,30.542106383707768,0.0,1300,1900,2300,2700,4100,4800,6700,8300,8700,8700,8700
,Aggregated,14663,0,960,1446.5796221782718,97,8711,139.31010025233581,60.872489588732776,0.0,960,1500,1900,2200,3400,4400,5700,6800,8600,8700,8700
